RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3834,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2233,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2910,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2914,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2210,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2163,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2719,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2345,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3113,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
1761,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2010,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3036,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2246,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2025,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2436,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3426,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2453,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2566,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3137,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2403,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
5216,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2626,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2426,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
5441,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2714,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3886,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
2055,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
3145,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
1954,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa936e5719bc09cb834cbe,"07/06/2022, 19:02:11"
