RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2991,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2047,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
5214,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2680,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
5174,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2407,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3089,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2478,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4128,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2885,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2831,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2390,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2197,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2769,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2767,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
