RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1503,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2847,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2903,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1567,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1544,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2951,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2350,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1967,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3455,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1887,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3267,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1398,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2015,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
