RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2311,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3062,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2818,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2355,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2280,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2142,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2295,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3204,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2502,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3169,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2087,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3659,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3235,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2505,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2457,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2567,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2966,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3192,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3609,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
