"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"2998","E_F_rotem_sela.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_rotem_sela.png P_M_saar.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1948","E_M_asi.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",3,"E_M_asi.png P_F_michaeli.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1715","E_M_ido.png","E_M_liorA.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",3,"E_M_ido.png E_M_liorA.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1312","E_F_shiri.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",3,"E_F_shiri.png P_M_gantz.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"10652","E_F_rotem_sela.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_rotem_sela.png P_M_smut.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"4278","P_F_shaked.png","P_M_benet.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"P_F_shaked.png P_M_benet.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"5332","E_F_ninet.png","E_F_rotem_sela.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",5,"E_F_ninet.png E_F_rotem_sela.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"1861","E_M_danker.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_danker.png P_F_regev.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2626","E_M_yuda.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",2,"E_M_yuda.png P_M_smut.png",-1.62350330955462,"25","Female","right","5e36f7aacb3c09689999f612"
"1647","E_M_yuda.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_yuda.png P_F_staiv.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2581","E_F_ninet.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",3,"E_F_ninet.png E_M_yuda.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1980","E_M_yuda.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_yuda.png P_M_benet.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2194","P_F_staiv.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"P_F_staiv.png P_M_saar.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2943","E_F_rotem_sela.png","E_M_danker.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",5,"E_F_rotem_sela.png E_M_danker.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"13113","E_F_shiri.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_shiri.png E_M_asi.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"3928","E_M_danker.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_danker.png P_F_shaked.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1647","E_F_galit_gutman.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_galit_gutman.png P_M_saar.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"56055","E_M_liorA.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_liorA.png P_F_shaked.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1880","P_M_gantz.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",4,"P_M_gantz.png P_M_smut.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
