RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1895,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2256,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1628,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1919,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1254,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1792,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1072,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1735,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2014,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1815,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
