RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
52030,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8523,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8334,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3831,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3868,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
9831,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6400,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3619,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5736,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8347,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5272,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
10348,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8213,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4679,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4415,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8979,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8115,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
38673,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4183,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4726,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3349,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3418,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3259,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5900,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
9412,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3383,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5080,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
2724,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
3452,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
2808,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
2609,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6818,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
2329,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
