RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2991,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4164,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2469,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2823,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3278,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3428,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
7491,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3956,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3514,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
6201,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3853,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4910,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3582,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
4393,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
