RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1816,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
4977,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2956,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1815,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1191,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1120,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1540,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1101,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3239,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2503,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2600,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
