RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
8428,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4032,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
10910,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
5440,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
11340,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
9566,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3773,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
7751,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
6211,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3929,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
4411,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
12996,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
3532,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
8190,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5eec48a2a0a86044492efa67,"06/19/2022, 15:05:32"
