RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3023,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6716,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
12906,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5427,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6888,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3597,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5061,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4446,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6453,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4072,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4389,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5491,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3869,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3947,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3078,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5365,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4497,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3698,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6635,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4032,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5872,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4623,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4162,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4251,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5612,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3723,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6125,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6400,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4934,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
11382,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3959,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
6336,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4135,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3677,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
15280,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5982,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
11008,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
