RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
19863,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
31187,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5155,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4440,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3155,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6876,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
9320,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4238,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
9375,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
15855,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
7035,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5089,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3397,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4027,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3381,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4510,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
11897,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3008,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3426,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3410,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6003,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4255,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4875,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4857,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3679,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4125,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
16899,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4048,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
5022,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6122,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
3491,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
6322,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4653,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
4650,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
10194,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b031e450a56660001284e2c,"07/06/2022, 17:33:58"
