RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4800,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3033,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2473,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
5652,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
2993,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
4024,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3190,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3169,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3198,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
3024,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5ea88d93acf4dc2da73372a1,"07/06/2022, 17:28:20"
