RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1627,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3645,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2513,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2326,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2253,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1731,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2239,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2232,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2047,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2458,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3320,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2065,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3604,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2102,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2257,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1742,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3449,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2200,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2639,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3210,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1755,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2842,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1948,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1609,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1521,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2582,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2106,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3567,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2199,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3273,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4211,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2079,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2704,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2708,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
1846,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2894,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3345,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2244,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
