RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3978,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3270,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4942,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
21133,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4216,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3273,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
11236,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2867,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4651,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2721,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3807,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6361,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3297,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3599,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2466,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6535,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
14096,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5315,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5968,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
7554,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
18895,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3232,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5727,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
11076,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3323,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3370,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3054,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
8329,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3454,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3931,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3676,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3289,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2825,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
10682,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5442,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6198,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4505,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3873,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4507,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5411,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3441,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3360,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4163,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5969,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
6924,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
5807,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4814,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4636,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3224,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
