RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
3635,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
3206,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
4357,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
3864,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
7109,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
5675,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
3848,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
4390,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
6103,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
3542,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
5372,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
2909,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
3814,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
5092,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f75cfbb3e500727c8c97631,"06/06/2022, 09:00:05"
