RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2237,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3625,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3162,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
4423,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2151,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2336,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2117,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2147,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
1622,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3081,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2402,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2072,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
3826,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2452,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2776,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2666,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2902,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2656,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
2084,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62c43b4e60eba7f584e3f69a,"07/06/2022, 18:56:44"
