RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
8197,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2453,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2870,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
5944,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
6360,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2564,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1901,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1763,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3674,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3324,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3263,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
6824,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2256,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1645,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2478,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
1707,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3648,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
2294,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
4567,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3058,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
3485,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,617305abc8cde4cf0e08255b,"10/27/2022, 13:25:48"
