RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2393,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2971,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2224,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3081,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1890,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3546,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2083,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3271,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2317,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2340,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3650,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4096,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2290,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2366,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3487,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2853,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3603,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2730,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2611,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2592,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2356,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4559,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2937,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2584,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2162,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2115,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2600,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2131,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1619,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1952,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3229,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2497,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
5764,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3612,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2200,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2292,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2148,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1630,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2617,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4006,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3564,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4288,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2999,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2197,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
6127,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
4314,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
1870,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2759,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2433,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
3026,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2791,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
5367,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
5951,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2681,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
2299,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61168f1b99f855bfe46cdc36,"10/27/2022, 13:17:07"
