RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1775,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2272,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1646,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1742,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1615,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1542,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
2230,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1512,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1755,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1575,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
1631,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f731eeb424c7804f2ff2936,"10/27/2022, 13:12:36"
