"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"6014","P_M_david_cameron.jpg","P_M_donald_trump.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",5,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_M_david_cameron.jpg P_M_donald_trump.jpg",0.122907837312381,"31","Female","right"
"2338","P_F_hillary_clinton.jpg","P_M_boris_johnson.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_hillary_clinton.jpg P_M_boris_johnson.jpg",0.790121811293876,"31","Female","right"
"2464","E_F_sandra_bullock.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_sandra_bullock.jpg E_M_tom_hankes.jpg",0.790121811293876,"31","Female","right"
"4187","E_F_angelina_jolie.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_angelina_jolie.jpg P_M_george_Wbush.jpg",0.790121811293876,"31","Female","right"
"13498","E_F_angelina_jolie.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_angelina_jolie.jpg P_M_donald_trump.jpg",0.790121811293876,"31","Female","right"
"4473","E_M_nicolas_cage.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_nicolas_cage.jpg P_M_george_Wbush.jpg",-0.544306136669115,"31","Female","right"
"2235","E_F_Kate_Winslet.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Kate_Winslet.jpg P_M_david_cameron.jpg",0.790121811293876,"31","Female","right"
"7154","E_M_robert_de_niro.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_M_robert_de_niro.jpg P_M_boris_johnson.jpg",-0.544306136669115,"31","Female","right"
"7621","E_F_angelina_jolie.jpg","E_F_keira_knightley.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",2,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_angelina_jolie.jpg E_F_keira_knightley.jpg",-1.8787340846321,"31","Female","right"
"4420","E_F_Kate_Winslet.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_Kate_Winslet.jpg P_F_tehresy_may.jpg",-0.544306136669115,"31","Female","right"
"5553","P_F_nicola_sturgeon.jpg","P_F_tehresy_may.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_F_nicola_sturgeon.jpg P_F_tehresy_may.jpg",-0.544306136669115,"31","Female","right"
"3667","E_F_keira_knightley.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",4,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg P_F_hillary_clinton.jpg",-0.544306136669115,"31","Female","right"
"7611","E_F_keira_knightley.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg E_M_michael_caine.jpg",0.790121811293876,"31","Female","right"
"13155","E_F_keira_knightley.jpg","E_M_nicolas_cage.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_keira_knightley.jpg E_M_nicolas_cage.jpg",0.790121811293876,"31","Female","right"
"2645","P_M_boris_johnson.jpg","P_M_david_cameron.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",2,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_M_boris_johnson.jpg P_M_david_cameron.jpg",-1.8787340846321,"31","Female","right"
"2411","P_M_bill_clinton.jpg","P_M_george_Wbush.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","P_M_bill_clinton.jpg P_M_george_Wbush.jpg",-1.21152011065061,"31","Female","right"
"2244","E_F_jennifer_aniston.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"5d7695cc7ae60f001bc4bde6","04/25/2022, 19:57:55","E_F_jennifer_aniston.jpg P_M_george_Wbush.jpg",0.790121811293876,"31","Female","right"
