RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3576,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3999,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4643,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3650,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3511,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
3977,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2558,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2596,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2982,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4100,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2803,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4377,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
6198,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
2582,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
1944,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
4768,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59ad23d45ea0f300012816ad,"06/30/2022, 15:11:02"
