RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7681,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7284,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6786,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7043,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6668,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
10178,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5113,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
8202,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7079,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5862,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
8496,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5762,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
9288,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
10348,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
9109,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
9420,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7042,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6048,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
9648,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6086,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5718,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
11403,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
9104,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6425,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6011,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
6737,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5773,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7636,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7693,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
11266,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
3692,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7058,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7704,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
5221,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
7440,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
4780,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b5d6507ba7ec90001fe85ff,"06/30/2022, 14:57:16"
