RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1857,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1615,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2219,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1479,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1678,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1694,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2012,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1833,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2506,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1945,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2058,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1720,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1576,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1253,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1172,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
2277,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
1427,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b6994d2a263aa0001c556a9,"04/26/2022, 13:54:04"
