RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_F_angelina_jolie.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_F_Kate_Winslet.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_M_bill_clinton.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_M_Tony_Blair.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_F_Judi_Dench.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_M_boris_johnson.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_M_nicolas_cage.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
E_F_keira_knightley.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_F_nicola_sturgeon.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
P_M_george_Wbush.jpg,1,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
age: 27,gender: Female,handedness: right,61561f25dc3e4e3f0077afc6,"04/26/2022, 13:52:01"
