RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2194,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2380,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2287,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2711,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1700,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1589,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1288,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2262,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3540,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2009,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2211,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1698,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2355,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1786,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2195,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1797,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3330,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1827,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1805,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1750,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2111,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1834,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2658,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2234,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1810,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1582,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1838,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2211,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1530,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1896,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2009,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
3865,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
2167,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
1851,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5eeb58ec4c86582a76ff55ec,"04/26/2022, 13:52:41"
