RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3bef448db265999e0f5adb,26/04/2022 15:19
2883,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3bef448db265999e0f5adb,29/05/2022 15:19
3975,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3bef448db265999e0f5adb,30/05/2022 15:19
2038,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3bef448db265999e0f5adb,31/05/2022 15:19
8239,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3bef448db265999e0f5adb,01/06/2022 15:19
7529,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3bef448db265999e0f5adb,02/06/2022 15:19
4623,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3bef448db265999e0f5adb,03/06/2022 15:19
4698,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3bef448db265999e0f5adb,04/06/2022 15:19
2351,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3bef448db265999e0f5adb,05/06/2022 15:19
2048,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3bef448db265999e0f5adb,06/06/2022 15:19
1911,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5f3bef448db265999e0f5adb,07/06/2022 15:19
2127,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f3bef448db265999e0f5adb,08/06/2022 15:19
2333,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,09/06/2022 15:19
1863,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f3bef448db265999e0f5adb,10/06/2022 15:19
2097,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3bef448db265999e0f5adb,11/06/2022 15:19
2631,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3bef448db265999e0f5adb,12/06/2022 15:19
2064,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3bef448db265999e0f5adb,13/06/2022 15:19
2313,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,14/06/2022 15:19
1612,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,15/06/2022 15:19
2498,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,16/06/2022 15:19
6927,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,17/06/2022 15:19
1451,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,18/06/2022 15:19
1171,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f3bef448db265999e0f5adb,19/06/2022 15:19
1268,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,20/06/2022 15:19
4093,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3bef448db265999e0f5adb,21/06/2022 15:19
3526,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f3bef448db265999e0f5adb,22/06/2022 15:19
2532,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f3bef448db265999e0f5adb,23/06/2022 15:19
3532,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f3bef448db265999e0f5adb,24/06/2022 15:19
1726,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3bef448db265999e0f5adb,25/06/2022 15:19
