RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2981,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1909,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2252,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1615,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1641,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3083,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1823,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1856,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1831,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
2350,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1945,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
1350,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
3025,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60a0067f943f8d336ec80fa1,"10/13/2022, 14:08:39"
