RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1971,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2582,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2503,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3298,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1948,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
5480,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2358,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
3458,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1776,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
1770,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2348,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2350,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
2248,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e1f8c0f5897391dbf74b49,"11/30/2021, 08:54:51"
