RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
12677,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4360,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
55026,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4521,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
36937,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4262,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
6118,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
36509,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
25345,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3806,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
8248,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
64947,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3566,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
6083,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
4008,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5941,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5939,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
8160,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
3505,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5930,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
2787,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
5172,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e11ff6f814bba8816cca900,"11/28/2021, 19:19:28"
