RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4523,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2182,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2516,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2473,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2480,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3119,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4081,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2147,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2259,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
6006,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
9829,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3468,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
8907,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
24984,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2152,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
4647,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
3405,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
2450,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f323237a6342a17e390a7c8,"11/30/2021, 07:35:53"
