RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2627,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2452,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
5045,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2992,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2670,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2652,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2768,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3217,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2362,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2471,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
