RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
6256,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2661,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2346,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2578,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2051,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3793,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3263,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3544,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3712,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1892,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2502,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2081,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2852,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2131,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2592,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
4463,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1821,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3282,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3864,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3292,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2342,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
3934,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
2491,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
5524,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
1782,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6346cd7b7d85c596d543e0ed,"11/02/2022, 16:09:30"
