RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
6582,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
8394,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2695,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
1944,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
9735,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
3041,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
2898,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4918,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4672,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
4594,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cc75fed260ac90018dead06,"11/02/2022, 16:12:16"
