RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
7685,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
8629,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2677,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3581,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2565,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2637,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
5151,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
10201,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2547,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3253,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
