RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1767,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1904,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2532,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2064,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2819,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
9332,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
2810,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
14231,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
30135,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
35850,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
6461,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1387,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1871,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
3363,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1401,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1379,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
1365,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ec267e5d4cb3e02f37e3ea0,"11/02/2022, 17:05:55"
