RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
7098,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2623,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2065,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6454,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2707,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
4197,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2479,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2823,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
6263,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1909,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3503,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
1636,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2572,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2387,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
3780,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
2921,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63198cf2de8669f9d4b4d592,"11/02/2022, 16:12:11"
