RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
8280,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,2,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3162,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3167,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3316,E_harLev.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4869,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3247,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5081,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
2711,E_katorza.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3064,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
4018,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3239,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
3756,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
9215,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
5754,E_katorza.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,611eb7284490ba01cddfbe98,"06/16/2022, 16:15:19"
