RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2058,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2380,P_lapid.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1885,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1846,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1686,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1438,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1714,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2303,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1776,P_benet.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1367,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1191,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
1429,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
2325,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,5fbb4a593dc031c2a81c7944,"06/19/2022, 09:41:55"
