RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
981,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2584,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2655,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1665,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2469,E_katorza.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1256,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3376,E_shaharHasson.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1120,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2434,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2982,E_shaharHasson.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2341,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2434,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3406,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2303,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2097,E_rita.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3068,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1893,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2922,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
8804,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
17555,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,2,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2511,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1440,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1434,E_harLev.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3081,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2546,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
3061,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2121,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2526,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
2486,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
1738,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e7241e8b05a3703ba0b3163,"08/07/2022, 15:27:49"
