RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2009,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1520,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2333,E_shaharHasson.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3626,P_lapid.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1898,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1497,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1965,E_katorza.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1846,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2496,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2608,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1771,E_moniMo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3634,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2169,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
6488,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3470,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
4009,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1861,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1817,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
3209,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
7975,E_tavori.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
2409,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
1964,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,60472af54e2a7f19c4266bd6,"08/07/2022, 15:24:22"
