RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2230,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1776,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1533,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2607,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1588,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1517,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1472,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1377,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1399,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1355,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1302,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1135,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1316,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1214,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1565,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1509,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1656,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1413,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1532,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1334,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2143,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2233,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1639,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1506,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1421,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1221,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
