RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3454,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2430,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
9273,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
8377,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4178,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3897,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
11164,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2955,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1886,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1773,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2833,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2271,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3209,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
7635,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1605,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1465,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1535,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1418,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1729,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4862,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3680,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4383,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
