RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5595,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5635,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6473,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7752,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5225,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
13815,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7329,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8880,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4632,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
30160,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9567,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9864,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4451,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
9227,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4478,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4042,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
22353,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5521,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5381,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5779,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
3380,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
8374,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4580,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5001,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7751,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
40453,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5445,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
26757,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
45305,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5373,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
3759,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6949,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
3828,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5120,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7586,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
6878,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
14262,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7312,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
5584,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4628,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
35181,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
3582,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4959,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7246,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
7194,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
4954,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
34399,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5acb92e9e1099600016ad073,"11/28/2021, 16:17:31"
