RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3138,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3738,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3985,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3120,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4587,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4893,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3608,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3771,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3305,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
2797,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4060,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5114,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
2962,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3622,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3314,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3920,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
2713,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4441,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3350,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3848,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
6589,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3965,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5015,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
4735,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3921,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3312,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3922,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
5588,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
3321,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fcb5e017710cc8a426cf9d8,"11/30/2021, 18:24:48"
