RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6709,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
2776,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5462,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3369,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6090,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5218,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3332,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3423,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4560,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5662,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5212,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5192,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4351,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6175,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3128,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4596,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5153,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3661,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
2559,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6952,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
