RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2095,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1699,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1540,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2918,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2310,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1863,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1876,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
3438,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1695,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2031,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2182,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2480,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1782,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1839,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
5188,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1928,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1447,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
4448,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2725,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1891,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
