RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1860,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2254,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2163,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1857,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1460,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1839,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1687,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1478,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1562,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2232,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1590,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1992,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1613,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1968,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1949,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1998,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1603,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
