RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2994,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2160,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2737,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2468,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2422,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4361,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2643,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3532,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3045,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2860,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2189,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2172,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
