RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2901,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3268,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
8576,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
9858,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
94685,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
9101,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3797,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6070,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3893,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3691,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2495,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4416,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2977,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3152,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3556,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3644,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3470,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3132,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6880,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6813,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3691,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3233,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
