RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3134,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2640,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3545,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3858,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3810,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2592,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2278,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3296,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3852,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2893,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3824,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2424,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2578,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2405,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2529,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4545,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
