RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2931,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3476,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2544,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2299,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2024,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3455,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2183,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2186,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3327,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4150,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
5593,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2844,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2035,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
1839,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3298,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2483,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2122,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2733,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3951,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2225,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2585,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2886,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
