RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2641,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3982,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2358,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2920,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3282,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3407,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3080,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2789,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
6266,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4006,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3249,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
5625,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
14432,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4733,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3724,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2887,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
2551,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
10053,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
3177,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
8007,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
5455,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
4671,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
11469,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ed25c093fecaa03fce0868a,"11/30/2021, 10:21:06"
