RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2222,E_katorza.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3223,E_harLev.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,1,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
5519,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3663,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4889,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4607,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4823,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3990,E_alfi.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
6793,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2639,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2735,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
