RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
4506,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
9395,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
11859,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3456,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
18975,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3163,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2972,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
3200,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
2852,E_shaharHasson.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
6672,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5f75d6eb2c8abc28b1aa36a2,"06/13/2022, 17:11:08"
