RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
6714,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
8660,E_yanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
7364,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
file,isFamiliar,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_peretz.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_benet.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_michaeli.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_yanai.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_smootchi.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_liberman.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_harLev.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_shaniCo.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_ivri.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_alfi.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_rita.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_tavori.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_shaked.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_moniMo.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_katorza.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_lapid.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_ornaBanai.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_zamir.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
E_shaharHasson.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
P_yehimovitz.jpg,1,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
age: 27,gender: F,handedness: right,5e67e71de8daac09c5f652f6,"06/14/2022, 17:58:45"
