RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2132,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3417,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
5620,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2803,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2023,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3177,P_lapid.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3733,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2669,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4526,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3394,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3459,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3382,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,1,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3326,E_ivri.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
4174,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2668,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
3222,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2233,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2134,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
2954,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5d84d32ae404a9001acc9ab2,"06/13/2022, 13:45:42"
