RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1965,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1813,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1634,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1725,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2526,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1645,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1876,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1933,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1787,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1597,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1733,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2702,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1741,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2359,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1658,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1196,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2558,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2257,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1364,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2044,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1941,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2174,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1552,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2038,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
2352,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
9736,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
1667,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ba8d21cd08ab20001c82ecf,"08/06/2022, 16:32:57"
