RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2694,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2551,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3338,E_M_Ewan_McGregor.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
4141,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2807,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
4703,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3356,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2137,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
3161,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1689,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
1860,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2755,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2364,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
2429,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d0d0446da74930017b3a8b9,"07/12/2022, 16:45:36"
