RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1443,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1751,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3654,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1951,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1695,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1687,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
3452,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
4383,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
2759,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
1899,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c0d109e73986d0001785b39,"07/12/2022, 08:53:14"
