RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2462,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3051,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2959,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2301,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2476,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2413,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2421,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2036,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2131,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1759,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1847,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
1741,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
2299,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
3724,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
4003,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
file,isFamiliar,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
P_F_Theresa_May.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_F_Sarah_Millican.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_M_Jimmy_Carr.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
P_M_david_camer.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
P_M_jeremy_corbyn.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_M_Michael_McIntyr.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
P_M_Tony_Blair.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_M_Ewan_McGregor.png,1,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_M_Peter_Kay.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
P_M_Gordon_Brown.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
P_M_nigel_farage.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_F_Jennifer_Saunders.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_F_Dawn_Roma_French.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_F_Julie_Walters.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
E_M_Simon_Pegg.png,0,5d47d58462ed9000157ad9b8,"07/13/2022, 07:59:20"
