RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
19761,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2384,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1596,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1513,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
9632,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2628,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1771,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1736,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3698,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1633,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1403,E_M_Michael_McIntyr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1761,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1204,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3014,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4809,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2000,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2290,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2076,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1462,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
6353,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
13292,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4653,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3769,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2706,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2161,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3195,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3890,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3374,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3031,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3045,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2404,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4656,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1828,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
5530,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2490,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
6139,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2259,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2949,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
1209,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
3198,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
4998,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
2226,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60fdbe1363c332cd3027e3c6,"07/12/2022, 11:57:01"
