RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3854,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
4365,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3572,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3827,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3889,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
7776,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3179,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3718,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2553,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2995,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3728,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
3129,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2774,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
2946,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,614afe29d2edbc484f004cc6,"06/30/2022, 12:02:23"
