RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1975,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2715,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3607,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3215,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4055,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2629,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2364,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2024,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3039,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3109,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2228,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2605,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1895,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2404,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2775,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1817,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4347,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1953,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3079,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1731,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3101,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2558,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2001,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3151,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1796,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
